,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
188,Lázaro Cárdenas,98,MX,1601559701,72,17.96,-102.2,78.46,4.23
189,Magdagachi,100,RU,1601559702,89,53.45,125.8,44.35,5.3
190,George Town,40,MY,1601559457,78,5.41,100.34,82.4,3.36
191,Jilib,100,SO,1601559703,66,0.49,42.79,83.43,9.93
192,Cidreira,100,BR,1601559549,70,-30.18,-50.21,76.05,4.32
193,Gao,0,ML,1601559704,25,16.64,1.64,100.44,4.65
194,El Salvador,20,SV,1601559704,78,13.83,-88.92,78.8,2.24
195,Khandyga,100,RU,1601559705,84,62.67,135.6,37.65,5.03
196,Leh,0,IN,1601559705,33,34.17,77.58,49.62,4.52
197,Khanpur,0,PK,1601559706,11,28.65,70.66,91.44,10.47
198,Pevek,100,RU,1601559706,86,69.7,170.31,37.96,19.57
199,Praia,20,CV,1601559706,70,14.92,-23.51,86.0,18.34
200,Pierre,75,US,1601559707,70,44.37,-100.35,46.0,14.99
201,Tura,3,IN,1601559708,90,25.52,90.22,76.6,1.41
202,Airai,95,TL,1601559709,66,-8.93,125.41,60.6,4.27
203,Tahoua,20,NE,1601559709,46,14.89,5.27,91.4,4.7
204,San Cristobal,40,VE,1601559709,69,7.77,-72.22,78.8,4.7
205,San Patricio,5,MX,1601559710,73,19.22,-104.7,77.0,6.93
206,Souillac,20,MU,1601559710,65,-20.52,57.52,77.0,4.7
207,Sur,0,OM,1601559711,63,22.57,59.53,83.12,2.64
208,Leningradskiy,100,RU,1601559711,93,69.38,178.42,32.4,5.86
209,Salinópolis,56,BR,1601559712,61,-0.61,-47.36,85.15,12.37
210,Wewak,100,PG,1601559712,82,-3.55,143.63,78.71,1.81
211,Saint Paul Harbor,90,US,1601559712,81,57.79,-152.41,50.0,11.41
212,São Filipe,4,CV,1601559713,76,14.9,-24.5,81.16,9.64
213,Solnechnyy,0,RU,1601559713,71,50.72,136.63,43.61,1.68
214,Taltal,27,CL,1601559714,58,-25.4,-70.48,63.32,5.1
215,Bilma,0,NE,1601559714,8,18.69,12.92,105.19,6.33
216,Nuuk,75,GL,1601559715,29,64.18,-51.72,35.6,3.36
217,Talaya,85,RU,1601559715,87,61.38,152.75,35.28,3.11
218,Pemangkat,100,ID,1601559716,76,1.17,108.97,81.84,4.47
219,Anadyr,75,RU,1601559716,93,64.75,177.48,35.6,6.71
220,Grindavik,40,IS,1601559717,81,63.84,-22.43,44.6,19.46
221,Hambantota,20,LK,1601559718,74,6.12,81.12,84.2,8.05
222,East London,75,ZA,1601559718,67,-33.02,27.91,60.8,13.87
223,Ecoporanga,20,BR,1601559719,41,-18.37,-40.83,85.87,6.38
224,Los Llanos de Aridane,75,ES,1601559719,57,28.66,-17.92,78.8,13.87
225,Srednekolymsk,0,RU,1601559719,90,67.45,153.68,29.8,0.87
226,Kloulklubed,75,PW,1601559720,94,7.04,134.26,77.0,8.59
227,Yulara,73,AU,1601559720,18,-25.24,130.99,82.4,11.41
228,Jiujiang,51,CN,1601559721,73,29.73,115.98,70.47,2.13
229,Paranavaí,0,BR,1601559721,31,-23.07,-52.47,93.7,15.79
230,Shushenskoye,99,RU,1601559722,86,53.33,91.94,37.4,4.47
231,Tomatlán,0,MX,1601559722,85,19.93,-105.25,73.69,3.33
232,Tuatapere,21,NZ,1601559723,81,-46.13,167.68,43.0,1.99
233,Kudahuvadhoo,75,MV,1601559723,77,2.67,72.89,82.47,8.99
234,Padang,100,ID,1601559705,82,-0.95,100.35,78.24,4.94
235,Nuquí,93,CO,1601559724,73,5.71,-77.27,81.84,1.32
236,Saint-Raymond,40,CA,1601559642,76,45.47,-73.61,57.99,16.11
237,La Ronge,40,CA,1601559725,100,55.1,-105.28,26.6,2.24
238,Narsaq,75,GL,1601559725,55,60.92,-46.05,39.2,41.38
239,Nizhniy Tsasuchey,100,RU,1601559726,83,50.52,115.13,41.94,6.64
240,Katsuura,20,JP,1601559726,88,35.13,140.3,68.0,3.36
241,Saint-Augustin,0,CA,1601559727,58,51.23,-58.65,59.94,22.08
242,Vangaindrano,62,MG,1601559727,83,-23.35,47.6,73.29,8.19
243,Lata,98,PT,1601559727,67,40.16,-8.33,69.01,5.01
244,Husiatyn,100,UA,1601559728,88,49.07,26.21,62.01,4.0
245,Aiquile,0,BO,1601559729,34,-18.2,-65.18,73.8,6.06
246,Estación Coahuila,5,MX,1601559729,21,32.19,-115.0,75.99,4.7
247,Saint-Alexandre,90,FR,1601559729,72,44.23,4.62,69.01,1.12
248,Bathsheba,20,BB,1601559729,78,13.22,-59.52,80.6,17.22
249,Kutum,100,SD,1601559730,19,14.2,24.67,89.96,6.8
250,Quelimane,0,MZ,1601559730,48,-17.88,36.89,87.8,14.99
251,Kalevala,68,RU,1601559730,83,65.2,31.17,52.65,4.63
252,Truro,40,GB,1601559637,76,50.27,-5.05,53.6,14.99
253,Tabou,94,CI,1601559731,79,4.42,-7.35,79.63,12.21
254,Olonets,99,RU,1601559732,72,60.98,32.97,58.01,4.29
255,Koulikoro,4,ML,1601559732,28,14.0,-7.75,98.85,8.16
256,Las Cruces,1,US,1601559576,31,32.31,-106.78,69.01,1.68
257,Vila Velha,0,BR,1601559733,58,-20.33,-40.29,84.2,16.11
258,Werneck,94,DE,1601559733,72,49.98,10.1,64.99,1.01
259,Russell,20,US,1601559733,93,32.35,-85.2,63.0,4.7
260,Camacha,75,PT,1601559734,56,33.08,-16.33,73.4,13.87
261,Siniscola,20,IT,1601559734,44,40.57,9.69,78.8,5.82
262,Zheleznodorozhnyy,46,RU,1601559665,32,55.75,38.0,66.2,8.95
263,Gurupi,52,BR,1601559699,18,-11.73,-49.07,99.27,10.33
264,Bonavista,68,CA,1601559735,82,48.65,-53.11,68.0,11.99
265,Linxia Chengguanzhen,100,CN,1601559735,48,35.6,103.21,55.4,3.02
266,Kaitangata,89,NZ,1601559736,87,-46.28,169.85,44.01,1.99
267,Taksimo,100,RU,1601559736,86,56.34,114.88,33.46,3.02
268,Barbacoas,93,CO,1601559737,87,1.67,-78.14,76.57,2.66
269,Poum,17,NC,1601559737,71,-20.23,164.02,71.15,11.21
270,Ucluelet,90,CA,1601559737,100,48.93,-125.55,57.99,1.57
271,Kirakira,99,SB,1601559738,82,-10.45,161.92,79.45,8.52
272,Yaoundé,75,CM,1601559692,74,3.87,11.52,80.6,3.36
273,Grand-Lahou,37,CI,1601559738,77,5.14,-5.02,79.39,12.26
274,Yerofey Pavlovich,100,RU,1601559739,92,53.97,121.97,41.49,5.88
275,Olafsvik,25,IS,1601559739,69,64.89,-23.71,43.09,13.87
276,Hazaribagh,100,IN,1601559740,80,23.98,85.35,72.37,5.59
277,Half Moon Bay,90,US,1601559512,52,37.46,-122.43,68.0,1.83
278,Nacala,20,MZ,1601559740,62,-14.54,40.67,84.2,12.75
279,Oruro,20,BO,1601559741,41,-17.98,-67.15,50.0,3.36
280,Washougal,90,US,1601559741,93,45.58,-122.35,59.0,3.36
281,Lianzhou,77,CN,1601559742,84,24.78,112.38,75.65,0.92
282,Dawson Creek,1,CA,1601559552,70,55.77,-120.24,44.6,3.36
283,Kavaratti,99,IN,1601559743,78,10.57,72.64,81.97,14.54
284,Esperance,0,AU,1601559743,87,-33.87,121.9,57.2,5.82
285,Andenes,20,NO,1601559743,93,69.31,16.12,51.8,12.75
286,Devarkonda,100,IN,1601559744,83,16.7,78.93,76.69,6.53
287,Katav-Ivanovsk,0,RU,1601559744,75,54.75,58.2,50.92,0.96
288,Am Timan,66,TD,1601559744,61,11.03,20.28,87.69,4.94
289,Belmonte,40,BR,1601559745,65,-15.86,-38.88,80.6,12.75
290,Corner Brook,75,CA,1601559745,72,48.97,-57.95,60.8,16.11
291,Xining,30,CN,1601559745,52,36.62,101.77,47.68,11.54
292,Bayan,100,CN,1601559746,76,46.08,127.4,51.26,8.08
293,Igrim,20,RU,1601559746,76,63.19,64.42,50.99,7.2
294,Weiser,1,US,1601559552,81,44.25,-116.97,42.8,1.21
295,Chennai,40,IN,1601559747,62,13.09,80.28,87.8,9.17
296,Westport,1,US,1601559542,68,41.14,-73.36,66.99,11.41
297,Lavrentiya,100,RU,1601559748,82,65.58,-171.0,37.99,14.97
298,Constitución,87,CL,1601559749,56,-35.33,-72.42,52.43,7.94
299,Ulverstone,49,AU,1601559749,81,-41.15,146.17,53.01,5.99
300,Tismana,89,RO,1601559607,59,45.05,22.97,62.91,4.07
301,Marshall,1,US,1601559714,82,34.38,-86.33,61.0,4.7
302,Basco,100,PH,1601559750,78,20.45,121.97,80.91,18.43
303,Poopó,20,BO,1601559751,39,-18.37,-66.97,50.0,3.36
304,Cayenne,75,GF,1601559751,83,4.93,-52.33,82.4,4.7
305,Pacific Grove,1,US,1601559685,77,36.62,-121.92,66.99,5.82
306,Coyhaique,40,CL,1601559752,55,-45.58,-72.07,39.2,0.25
307,Gouré,0,NE,1601559752,36,13.98,10.27,98.01,5.01
308,Rodolfo Sánchez Taboada,0,MX,1601559752,30,31.72,-116.57,73.94,2.48
309,Alice Springs,0,AU,1601559598,13,-23.7,133.88,75.2,6.93
310,Maralal,60,KE,1601559753,48,1.1,36.7,72.9,9.86
311,Bouloupari,3,NC,1601559754,68,-21.87,166.05,64.4,3.36
312,Zyryanka,76,RU,1601559754,72,65.75,150.85,35.87,8.72
313,Tiarei,20,PF,1601559755,83,-17.53,-149.33,73.4,2.24
314,Lanxi,72,CN,1601559755,38,29.22,119.48,73.0,3.42
315,Bridlington,100,GB,1601559756,62,54.08,-0.19,55.4,6.93
316,União,0,BR,1601559756,46,-4.59,-42.86,89.6,10.29
317,Alofi,15,NU,1601559757,100,-19.06,-169.92,73.4,2.24
318,Hong Kong,100,HK,1601559742,79,22.29,114.16,82.0,1.01
319,Rocha,3,UY,1601559757,63,-34.48,-54.33,68.29,5.77
320,Dekar,0,BW,1601559758,9,-21.53,21.93,95.95,16.53
321,Antofagasta,90,CL,1601559758,82,-23.65,-70.4,57.2,8.05
322,Pisco,4,PE,1601559759,82,-13.7,-76.22,64.4,12.75
323,Miandrivazo,9,MG,1601559759,23,-19.52,45.47,98.28,18.75
324,Thinadhoo,15,MV,1601559760,68,0.53,72.93,83.88,4.83
325,Ketchikan,90,US,1601559760,100,55.34,-131.65,53.6,1.68
326,Djambala,100,CG,1601559761,97,-2.54,14.75,67.75,6.62
327,Karasjok,75,NO,1601559761,81,69.47,25.51,51.8,16.11
328,Vila do Maio,20,CV,1601559761,70,15.13,-23.22,86.0,18.34
329,Upernavik,0,GL,1601559762,84,72.79,-56.15,21.78,10.71
330,Ritchie,40,ZA,1601559762,30,-29.04,24.6,82.4,10.29
331,Rūdsar,75,IR,1601559763,69,37.14,50.29,73.4,2.24
332,Sumter,1,US,1601559763,81,28.71,-82.08,70.0,1.01
333,Tema,20,GH,1601559763,74,5.67,-0.02,82.4,14.99
334,Port Augusta,0,AU,1601559764,55,-32.5,137.77,62.6,9.17
335,Luangwa,1,ZM,1601559764,22,-15.62,30.42,98.55,10.67
336,Paragominas,37,BR,1601559764,46,-2.97,-47.48,90.27,6.4
337,La Santisima Trinidad,20,BO,1601559765,66,-14.83,-64.9,86.0,11.41
338,Karratha,5,AU,1601559765,32,-20.74,116.85,75.92,11.03
339,Forsytheganj,63,BY,1601559766,52,52.63,29.73,64.69,14.7
340,Buraidah,0,SA,1601559750,19,26.33,43.98,96.8,6.93
341,Auki,99,SB,1601559767,85,-8.77,160.7,77.18,3.91
342,Hobyo,33,SO,1601559767,78,5.35,48.53,79.48,16.49
343,Clyde River,90,CA,1601559768,92,70.47,-68.59,28.4,17.22
344,Pangai,100,TO,1601559768,85,-19.8,-174.35,77.56,13.38
345,Fomboni,0,KM,1601559768,75,-12.28,43.74,79.81,7.63
346,Khovd,100,MN,1601559769,73,48.01,91.64,37.08,13.24
347,Bafra,75,TR,1601559769,64,41.57,35.91,71.6,5.82
348,Blagoyevo,77,RU,1601559769,84,63.37,47.92,52.7,4.38
349,Haines Junction,100,CA,1601559770,81,60.75,-137.51,43.9,4.59
350,Dicamay,97,PH,1601559770,93,16.76,122.0,74.86,0.72
351,Kochkurovo,100,RU,1601559771,55,54.04,45.42,59.68,7.05
352,Nadvoitsy,76,RU,1601559771,80,63.87,34.32,52.09,1.68
353,Sirte,0,LY,1601559772,50,31.21,16.59,84.34,12.12
354,Shihezi,67,CN,1601559772,43,44.3,86.03,51.06,7.36
355,Acayuca,90,MX,1601559772,66,20.03,-98.83,51.67,3.98
356,Dakar,20,SN,1601559773,70,14.69,-17.44,89.6,16.11
357,Ancud,75,CL,1601559773,93,-41.87,-73.82,41.0,8.05
358,Zhangye,100,CN,1601559564,39,38.93,100.45,51.35,1.54
359,Leshukonskoye,96,RU,1601559774,87,64.9,45.76,49.82,4.07
360,Saint-François,92,FR,1601559774,72,46.42,3.91,66.0,10.29
361,Luwingu,55,ZM,1601559775,15,-10.26,29.93,92.5,6.26
362,Codó,87,BR,1601559775,32,-4.46,-43.89,95.45,6.26
363,Inhambane,75,MZ,1601559776,73,-23.86,35.38,77.0,18.34
364,Sabang,82,ID,1601559776,75,5.89,95.32,84.02,9.01
365,Willmar,90,US,1601559776,70,45.12,-95.04,46.4,16.11
366,Chalchihuites,0,MX,1601559777,47,23.48,-103.88,54.01,4.14
367,Karasburg,15,NA,1601559777,34,-28.02,18.75,59.74,23.85
368,Syracuse,40,IT,1601559507,78,37.09,15.28,82.4,10.29
369,Atar,0,MR,1601559778,11,20.52,-13.05,104.22,21.39
370,Pangnirtung,20,CA,1601559779,50,66.15,-65.71,30.2,6.85
371,San Fernando del Valle de Catamarca,0,AR,1601559642,39,-28.47,-65.79,73.99,1.99
372,Okhotsk,0,RU,1601559779,72,59.38,143.3,44.82,1.83
373,Nyrob,93,RU,1601559780,91,60.73,56.72,49.39,4.52
